,0
0,2459.436825133577
1,2468.224215863435
2,2476.336908979361
3,2483.7801330765283
4,2490.5591167501116
5,2496.679088595284
6,2502.1452772072207
7,2506.962911181095
8,2511.137219112081
9,2514.673429595353
10,2517.576771226084
11,2519.8524725994494
12,2521.5057623106227
13,2522.541868954778
14,2522.966021127089
15,2522.7834474227298
16,2521.9993764368746
17,2520.6190367646977
18,2518.6476570013724
19,2516.0904657420733
20,2512.9526915819747
21,2509.2395631162494
22,2504.9563089400726
23,2500.108157648618
24,2494.7003378370596
25,2488.7380781005713
26,2482.2266070343276
27,2475.1711532335016
28,2467.576945293268
29,2459.449211808801
30,2450.7931813752743
31,2441.614082587862
32,2431.9171440417376
33,2421.707594332076
34,2410.9906620540505
35,2399.7715758028357
36,2388.0555641736055
37,2375.847855761534
38,2363.1536791617946
39,2349.978262969562
40,2336.32683578001
41,2322.2046261883124
42,2307.6168627896436
43,2292.568774179178
44,2277.0655889520885
45,2261.11253570355
46,2244.7148430287357
47,2227.877739522821
48,2210.6064537809784
49,2192.906214398383
50,2174.782249969972
51,2154.1235479523257
52,2131.5520027534235
53,2109.953003546595
54,2088.5496035561573
55,2067.322727508057
56,2032.5394979036523
57,2010.8689212872011
58,1990.131113669726
59,1968.7117539221344
60,1946.8945561827124
61,1923.1773351411646
62,1897.4201208117022
63,1870.3386864992942
64,1842.9036383965317
65,1814.21279350458
66,1788.1742545060113
67,1762.5268734854062
68,1737.2274795278379
69,1712.0057429886235
70,1686.897795732973
71,1664.7410975972477
72,1654.063203168221
73,1636.6862253950098
74,1613.2030110701514
75,1587.7465592123333
76,1562.9238788720152
77,1538.1799257990294
78,1512.466419340198
79,1486.8964208599182
80,1461.8147355906947
81,1438.1749988169497
82,1414.9255577458157
83,1391.6060332752918
84,1367.1454189805427
85,1341.4398265601283
86,1315.014412917948
87,1287.845276435511
88,1266.5532971789714
89,1250.5429121275843
90,1220.4747705517173
91,1193.1996303468527
92,1166.6087951109857
93,1141.6085664557438
94,1116.6092457339244
95,1092.2449709525445
96,1069.098477847802
97,1046.4136080317348
98,1039.2219478685713
99,1015.9368116496684
100,993.3306299996343
101,971.172291188929
102,957.7383930030364
103,953.911730628449
104,935.8037226909614
105,915.7778610410624
106,896.1216377376537
107,877.7706307195587
108,861.2901599097241
109,844.722495881191
110,831.3340726931426
111,819.3147972943008
112,809.2429651709525
113,798.9208583114281
114,788.8734600204298
115,780.5973979615432
116,772.9568479879111
117,765.1412993199511
118,757.510220681207
119,749.798783302
120,742.0412997904543
121,735.6865075972895
122,729.5569256646346
123,724.9386734570262
124,719.6874437711552
125,716.982642220952
126,713.91967110531
127,710.42068713909
128,707.8444496852821
129,704.2673143062926
130,701.9781760549246
131,699.661735179727
132,698.8175409287393
133,697.9167531784926
134,696.2342654045169
135,694.9647330798927
136,695.0806206427792
137,695.6036404886872
138,696.61156612954
139,694.3697239171397
140,691.8592824044142
141,690.930839031168
142,690.5980291198641
143,675.5102583967703
144,673.0060126099415
145,672.5126230670105
146,672.4575967752388
147,670.227620764116
148,665.3062683111275
149,657.6995861838795
150,649.7735866277371
151,642.5001376979343
152,639.1363982657845
153,637.0161122191084
154,636.945857973311
155,636.9332056215607
